program,gender,age,height,weight,prev_salary,expected_salary,preferred_organization,Do you LIVE WITH YOUR PARENTS? ,monthly_expenses,transport_mode,transport_cost,entertainment_cost,cellphone_cost,foot_size,alcoholic_drinks_per_week,sleep_hours,How much time in hours do you spend each week on social netorking sites?,study_hours,work_hours,travel_outside_NA,pay_own_tuition,coffees_per_day,height_m,BMI,coffee_per_week,total_monthly_expense
0,0,28.0,165.0,47.0,4200.0,6000.0,. Large Corporation,No,,2. Public Transport,,90,40,10,0,6,20,20,0,Yes,Yes,0.0,1.65,17.263544536271812,0.0,
0,0,25.0,178.0,80.0,4000.0,5000.0,. Large Corporation,No,2500,2. Public Transport,60,50,42,,0,7,12,20,0,Yes,No,1.0,1.78,25.24933720489837,7.0,2500605042
0,0,23.0,182.0,79.0,0.0,2500.0,. Non-profit or Government Agency,Yes,1000,3. Drive,50,100,45,10.24,0,7.5,3,12,0,Yes,No,1.0,1.82,23.849776597029344,7.0,10005010045
2,0,25.0,180.0,80.0,3500.0,5000.0,. Large Corporation,No,1500,1. Walk,0,10,50,10,0,6,1,10,1,Yes,Yes,1.5,1.8,24.691358024691358,10.5,150001050
16,0,27.0,168.0,68.0,1400.0,4000.0,. Large Corporation,No,1200,2. Public Transport,150,10,30,9.5,1,5,2,10,15,Yes,No,1.0,1.68,24.092970521541954,7.0,12001501030
0,0,28.0,180.0,78.0,0.0,4000.0,. Large Corporation,No,1200,2. Public Transport,50,200,60,,2,7,10,10,20,Yes,No,1.0,1.8,24.074074074074073,7.0,12005020060
0,0,35.0,167.0,77.0,0.0,5000.0,. Non-profit or Government Agency,No,5000,2. Public Transport,100,400,200,9,0,6,14,28,0,Yes,Yes,0.0,1.67,27.60945175517229,0.0,5000100400200
0,0,26.0,152.4,110.0,0.0,4000.0,. Large Corporation,Yes,100,2. Public Transport,0,50,,15.24,0,6,6,5,12,Yes,No,0.0,1.524,47.361205833522774,0.0,
0,0,25.0,178.0,78.0,0.0,3500.0,. Large Corporation,No,1000,2. Public Transport,35,50,40,,0,7,12,25,15,Yes,No,1.0,1.78,24.61810377477591,7.0,1000355040
0,0,23.0,179.0,71.0,0.0,4200.0,. Small Company,Yes,0,2. Public Transport,20,0,0,11,0,6.5,35,16,0,Yes,No,0.0,1.79,22.15910864205237,0.0,02000
0,0,36.0,178.0,82.0,5700.0,6500.0,. Non-profit or Government Agency,No,2000,2. Public Transport,200,200,80,10,2,8,4,15,20,Yes,Yes,2.0,1.78,25.88057063502083,14.0,200020020080
0,0,32.0,173.0,93.0,4400.0,7400.0,. Non-profit or Government Agency,No,3200,3. Drive,80,400,90,10,4,6,12,4,40,Yes,Yes,2.0,1.73,31.073540713020815,14.0,32008040090
0,0,29.0,171.0,73.0,3600.0,5000.0,. Large Corporation,Yes,500,2. Public Transport,200,100,40,9,0,6,5,8,37.5,Yes,Yes,0.5,1.71,24.96494647925858,3.5,50020010040
0,0,21.0,178.0,70.0,3000.0,5000.0,. Large Corporation,No,2500,3. Drive,100,100,100,12,8,7,10,8,0,Yes,Yes,3.0,1.78,22.093170054286073,21.0,2500100100100
19,0,33.0,179.0,85.0,0.0,6500.0,. Non-profit or Government Agency,Yes,1200,2. Public Transport,40,200,35,9,0,6,25,8,0,Yes,Yes,0.0,1.79,26.528510346119035,0.0,12004020035
0,0,24.0,172.0,53.0,5500.0,5500.0,. Large Corporation,No,$3000,2. Public Transport,$40,$250,78$,10.3,1,7,30,15,40,Yes,Yes,1.0,1.72,17.915089237425637,7.0,$3000$40$25078$
0,0,24.0,187.0,81.0,2500.0,5000.0,. Large Corporation,No,1500,2. Public Transport,50,200,40,11,0,10,10,15,30,Yes,Yes,1.0,1.87,23.163373273470786,7.0,15005020040
0,0,30.0,175.0,65.0,5000.0,6000.0,. Large Corporation,No,2000,2. Public Transport,45,100,30,10,0,8,10,15,40,Yes,Yes,2.0,1.75,21.224489795918366,14.0,20004510030
0,0,33.0,167.0,64.0,3000.0,4500.0,. Small Company,No,1500,2. Public Transport,$60,$50,115,9.5,4,7,25,20,38,Yes,Yes,1.0,1.67,22.948115744558788,7.0,1500$60$50115
0,0,23.0,182.0,79.0,0.0,2000.0,. Non-profit or Government Agency,No,1000,3. Drive,150,100,45,11,0,7,10,14,0,Yes,No,1.0,1.82,23.849776597029344,7.0,100015010045
8,0,26.0,152.4,54.54,3100.0,3300.0,. Non-profit or Government Agency,No,1200,3. Drive,300,10,30,9,4,6.5,10,10,6,Yes,Yes,2.0,1.524,23.482546965093928,14.0,12003001030
1,0,22.0,176.784,74.0,0.0,3000.0,. Large Corporation,No,500,2. Public Transport,0,100,86,6,1,7,11,5,24,Yes,No,4.0,1.7678399999999999,23.67804312831509,28.0,500010086
5,0,20.0,168.0,74.84,0.0,5000.0,. Large Corporation,Yes,$800,3. Drive,$160,$40,$90,9.69 inches long,0,11 hours,14 hours,17 hours,7 hours,Yes,No,0.0,1.68,26.51643990929706,0.0,$800$160$40$90
18,0,23.0,183.0,71.0,7000.0,6500.0,. Small Company,Yes,900,1. Walk,0,50,55,20,,6,21,20,0,Yes,No,0.0,1.83,21.20099137030069,0.0,90005055
5,0,27.0,164.0,50.0,0.0,5000.0,. Non-profit or Government Agency,No,3000,3. Drive,150,,50,8.75,much as I can,9,3hours,10hours,0,Yes,Yes,1.0,1.64,18.590124925639504,7.0,
16,0,21.0,178.0,66.0,0.0,3300.0,. Small Company,Yes,3900,3. Drive,700,0,80,11.25,0,8,0,40,0,Yes,No,0.0,1.78,20.830703194041156,0.0,3900700080
0,0,24.0,161.0,57.0,0.0,4000.0,. Large Corporation,Yes,200,2. Public Transport,0,20,0,8,1,8,30,25,8,Yes,Yes,0.0,1.61,21.98989236526368,0.0,2000200
7,0,29.0,162.0,70.0,3500.0,2600.0,. Large Corporation,No,1500,2. Public Transport,50,150,69,9.25,0-2,6,21,35,0,Yes,Yes,0.0,1.62,26.672763298277697,0.0,15005015069
0,0,23.0,185.0,93.0,3700.0,3200.0,. Small Company,Yes,60,2. Public Transport,90,75,50,9,1,7,5,10,8,Yes,Yes,0.0,1.85,27.173119065010955,0.0,60907550
5,0,24.0,170.0,81.0,5500.0,3500.0,. Large Corporation,Yes,700,3. Drive,750,150,117,10.5,0-2,7,10,18,8,Yes,No,1.0,1.7,28.027681660899656,7.0,700750150117
5,0,23.0,170.0,57.0,3000.0,5000.0,. Large Corporation,Yes,750,2. Public Transport,50,30,34,10,0,6,32,8,30,Yes,Yes,1.0,1.7,19.723183391003463,7.0,750503034
0,0,21.0,183.0,71.0,4000.0,5000.0,. Large Corporation,Yes,100,3. Drive,100,30,0,10.5 inches,0,7.5,20,4,5,Yes,No,0.5,1.83,21.20099137030069,3.5,100100300
16,0,20.0,178.0,84.0,3000.0,6000.0,. Large Corporation,Yes,300,3. Drive,150,100,70,11,0,7,10,15,16,Yes,No,1.0,1.78,26.511804065143288,7.0,30015010070
12,0,22.0,172.0,57.0,0.0,4000.0,. Large Corporation,No,"arounf $1,200 a month for both",2. Public Transport,$0,$200,$50,9 inches,4,7,15,10,12,Yes,Yes,2.0,1.72,19.2671714440238,14.0,"arounf $1,200 a month for both$0$200$50"
0,0,20.0,172.0,64.0,0.0,5000.0,. Large Corporation,No,1400,2. Public Transport,0,300,39,10.25,0,8,7,3,15,Yes,No,1.0,1.72,21.63331530557058,7.0,1400030039
0,0,29.0,165.0,62.0,3200.0,5000.0,. Large Corporation,Yes,150,2. Public Transport,0,300,25,,2,7,14,24,25,Yes,No,0.5,1.65,22.77318640955005,3.5,150030025
16,0,22.0,188.0,72.0,3200.0,5000.0,. Small Company,Yes,300,3. Drive,100,100,0,11,8,8,24,10,0,Yes,No,1.0,1.88,20.37120869171571,7.0,3001001000
16,0,19.0,182.0,55.0,0.0,5500.0,. Small Company,Yes,1000,2. Public Transport,110,200,35,9.9,average 0-2,5,12,over 30,about 24,Yes,No,1.0,1.82,16.604274846033086,7.0,100011020035
16,0,22.0,157.0,55.0,0.0,2000.0,. Large Corporation,Yes,750,3. Drive,400,200,100,,1,8,3,4,16,Yes,Yes,2.0,1.57,22.313278429145196,14.0,750400200100
2,0,23.0,157.0,73.0,0.0,5447.0,. Small Company,Yes,300,2. Public Transport,68,12,0,8.5,1,6,4,21,0,Yes,Yes,0.0,1.57,29.61580591504726,0.0,30068120
