program,gender,age,height,weight,prev_salary,expected_salary,preferred_organization,Do you LIVE WITH YOUR PARENTS? ,monthly_expenses,transport_mode,transport_cost,entertainment_cost,cellphone_cost,foot_size,alcoholic_drinks_per_week,sleep_hours,How much time in hours do you spend each week on social netorking sites?,study_hours,work_hours,travel_outside_NA,pay_own_tuition,coffees_per_day,height_m,BMI,coffee_per_week,total_monthly_expense
16,0,24.0,165.0,52.0,3750.0,5000.0,. Large Corporation,Yes,200,3. Drive,680,210,85,10.25,0,8,3,25,0,Yes,No,0.0,1.65,19.100091827364558,0.0,20068021085
16,0,28.0,158.0,57.0,2800.0,4000.0,. Large Corporation,Yes,500,2. Public Transport,0,100,75,9,1,7,4,25,0,Yes,Yes,1.0,1.58,22.832879346258608,7.0,500010075
16,0,20.0,182.0,80.0,0.0,3750.0,. Small Company,Yes,300,3. Drive,100,100,50,10.35,8,6,12,15,0,Yes,No,2.0,1.82,24.151672503320853,14.0,30010010050
16,0,23.0,170.0,69.0,2500.0,4500.0,. Other,Yes,1500,3. Drive,200,100,90,9.6875,1,6,18,84,6,Yes,Yes,2.0,1.7,23.87543252595156,14.0,150020010090
16,0,26.0,190.0,77.0,3000.0,6200.0,. Large Corporation,Yes,450,3. Drive,160,40,60,11.25,8,6,2,7,6.5,Yes,Yes,4.0,1.9,21.329639889196677,28.0,4501604060
16,0,19.0,170.6,70.4,3800.0,4750.0,. Large Corporation,Yes,150-200,3. Drive,380,,0,9.8,3,8,3,30,16-24,Yes,Yes,1.0,1.706,24.188815696342406,7.0,
16,0,19.0,188.0,69.0,2000.0,3500.0,. Small Company,Yes,$0,3. Drive,$150,$150,$55,10.6,4,7,10,20,5,Yes,No,1.0,1.88,19.52240832956089,7.0,$0$150$150$55
16,0,19.0,168.0,62.3,0.0,3200.0,. Large Corporation,No,1100,1. Walk,0,120,45,7.5,3,6,,,0,Yes,Yes,0.0,1.68,22.0734126984127,0.0,1100012045
16,0,26.0,165.0,48.0,0.0,3000.0,. Large Corporation,No,800,2. Public Transport,100,500,48,idk,it depends,8,22,60,0,Yes,No,0.0,1.65,17.63085399449036,0.0,80010050048
20,0,27.0,175.0,74.0,3600.0,4500.0,. Other,No,,5. Other,10,10,85,,6,8,3,6,0,Yes,No,2.0,1.75,24.163265306122447,14.0,
16,0,24.0,162.0,99.0,0.0,5000.0,. Large Corporation,No,12000,3. Drive,500,3000,140,40,0,7,3,5,0,Yes,No,0.0,1.62,37.722908093278456,0.0,120005003000140
